task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,SLAM,local,80.0,0.0,731460,883313.0799723614,1721,0.0,0.0,883.3130799723614,0.0,883.3130799723614,0.0006134118610919176,79.9993865881389,1.7666261599447228,False
2,SLAM,local,79.9993865881389,0.8833130799723614,842736,13042659.76282778,506,0.0,0.0,13042.659762827781,0.0,13042.659762827781,0.009057402613074847,79.99032918552582,26.968632605627924,True
3,GENERIC,local,79.99032918552582,13.925972842800142,1378667,3971638.9802273605,991,0.0,0.0,3971.638980227361,0.0,3971.638980227361,0.0027580826251578892,79.98757110290066,21.869250803254864,True
4,GENERIC,local,79.98757110290066,17.897611823027503,5997106,2586683.2934914683,4125,0.0,0.0,2586.6832934914682,0.0,2586.6832934914682,0.0017963078427024085,79.98577479505796,23.07097841001044,False
5,NAV,local,79.98577479505796,20.48429511651897,313187,3248179.434021786,1685,0.0,0.0,3248.179434021786,0.0,3248.179434021786,0.002255680162515129,79.98351911489544,26.980653984562544,True
6,NAV,local,79.98351911489544,23.732474550540758,1003170,2288078.532153193,1540,0.0,0.0,2288.078532153193,0.0,2288.078532153193,0.0015889434251063843,79.98193017147034,28.308631614847144,True
7,GENERIC,edge,79.98193017147034,26.02055308269395,1505733,1073959.2700882128,1428,140.45864,21.20456,214.79185401764255,1.5543122344752192e-12,376.4550540176441,3.3569093333333334e-05,79.981896602377,26.773463190729238,False
8,GENERIC,local,79.981896602377,26.397008136711595,665959,11856644.269992918,4280,0.0,0.0,11856.644269992916,0.0,11856.644269992916,0.008233780743050638,79.97366282163395,50.11029667669743,True
9,GENERIC,local,79.97366282163395,38.25365240670451,1792507,4484000.286952414,192,0.0,0.0,4484.000286952416,0.0,4484.000286952416,0.0031138890881613986,79.9705489325458,47.22165298060934,True
10,GENERIC,edge,79.9705489325458,42.737652693656926,17124,2849860.7093987754,536,21.36992,20.08192,569.9721418797551,0.0,611.423981879755,6.980195555555556e-06,79.97054195235025,43.96050065741643,True
11,GENERIC,edge,79.97054195235025,43.34907667553668,124582,11724520.667113898,797,29.96656,20.0996,2344.9041334227795,4.440892098500626e-13,2394.97029342278,8.892524444444444e-06,79.9705330598258,48.13901726238224,True
12,GENERIC,local,79.9705330598258,45.74404696895946,627485,625629.510398747,1439,0.0,0.0,625.6295103987454,0.0,625.6295103987454,0.00043446493777690763,79.97009859488801,46.99530598975695,False
13,GENERIC,local,79.97009859488801,46.369676479358205,1857435,7708151.288157233,5778,0.0,0.0,7708.151288157233,0.0,7708.151288157233,0.005352882838998078,79.96474571204902,61.78597905567267,True
14,GENERIC,local,79.96474571204902,54.07782776751544,812574,3708898.186522789,1681,0.0,0.0,3708.898186522788,0.0,3708.898186522788,0.0025756237406408256,79.96217008830838,61.49562414056101,True
15,GENERIC,edge,79.96217008830838,57.786725954038225,1916057,138792.88488498938,545,173.28455999999997,21.5328,27.758576976997876,2.0296264668928643e-12,222.57593697699988,4.090021333333333e-05,79.96212918809505,58.23187782799223,False
16,GENERIC,edge,79.96212918809505,58.00930189101523,909865,4113230.39952465,1951,92.78920000000001,20.72784,822.64607990493,0.0,936.1631199049301,2.2922915555555556e-05,79.96210626517949,59.881628130825085,False
17,GENERIC,edge,79.96210626517949,58.94546501092015,925801,1198242.7266862968,3838,94.06408,20.740640000000003,239.64854533725935,1.1934897514720433e-12,354.4532653372605,2.3207644444444447e-05,79.96208305753504,59.65437154159468,False
18,GENERIC,local,79.96208305753504,59.299918276257415,804203,4526130.780765754,4019,0.0,0.0,4526.130780765754,0.0,4526.130780765754,0.003143146375531774,79.9589399111595,68.35217983778892,True
19,GENERIC,local,79.9589399111595,63.82604905702317,365750,3283355.660414593,158,0.0,0.0,3283.3556604145997,0.0,3283.3556604145997,0.002280108097510134,79.956659803062,70.39276037785237,True
20,GENERIC,local,79.956659803062,67.10940471743777,1611068,596399.0856255179,624,0.0,0.0,596.3990856255208,0.0,596.3990856255208,0.0004141660316843874,79.9562456370303,68.30220288868881,False
21,NAV,local,79.9562456370303,67.70580380306329,1132195,5658085.102738535,1294,0.0,0.0,5658.08510273854,0.0,5658.08510273854,0.003929225765790649,79.95231641126452,79.02197400854037,True
22,GENERIC,local,79.95231641126452,73.36388890580183,728383,16028976.411466252,333,0.0,0.0,16028.976411466247,0.0,16028.976411466247,0.011131233619073788,79.94118517764545,105.42184172873432,True
23,GENERIC,local,79.94118517764545,89.39286531726808,1366450,3249345.7087265276,16,0.0,0.0,3249.345708726523,0.0,3249.345708726523,0.002256490075504533,79.93892868756994,95.89155673472112,True
24,SLAM,local,79.93892868756994,92.6422110259946,1598753,21759421.185798675,1498,0.0,0.0,21759.421185798674,0.0,21759.421185798674,0.015110709156804635,79.92381797841314,136.16105339759196,True
