task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,edge,80.0,0.0,535629,4441191.808637978,1964,122.85032,80.42848,888.2383617275955,0.0,1091.5171617275955,3.623656888888889e-05,79.99996376343111,2.1830343234551908,False
2,GENERIC,edge,79.99996376343111,1.0915171617275954,918995,14706175.174199317,32,153.5196,80.73512000000001,2941.235034839863,0.0,3175.489754839863,4.308603555555556e-05,79.99992067739555,7.442496671407321,True
3,GENERIC,local,79.99992067739555,4.267006916567459,1828187,9262313.579953251,145,0.0,0.0,9262.31357995325,0.0,9262.31357995325,0.006432162208300868,79.99348851518725,22.79163407647396,True
4,GENERIC,local,79.99348851518725,13.52932049652071,3605835,13630001.197710866,97,0.0,0.0,13630.001197710866,0.0,13630.001197710866,0.009465278609521436,79.98402323657773,40.78932289194244,True
5,GENERIC,local,79.98402323657773,27.159321694231576,177979,3133132.939967031,77,0.0,0.0,3133.1329399670303,0.0,3133.1329399670303,0.0021757867638659938,79.98184744981386,33.42558757416563,True
6,GENERIC,local,79.98184744981386,30.292454634198606,121466,1283236.2359045106,706,0.0,0.0,1283.2362359045105,0.0,1283.2362359045105,0.0008911362749336879,79.98095631353893,32.85892710600763,True
7,SLAM,local,79.98095631353893,31.575690870103116,118277,2190497.5918744286,71,0.0,0.0,2190.497591874426,0.0,2190.497591874426,0.001521178883246131,79.97943513465567,35.95668605385197,True
8,GENERIC,local,79.97943513465567,33.76618846197754,2154306,1015139.8062396953,359,0.0,0.0,1015.139806239695,0.0,1015.139806239695,0.0007049581987775661,79.97873017645689,35.79646807445693,True
9,SLAM,local,79.97873017645689,34.78132826821724,127919,1426150.3747713384,942,0.0,0.0,1426.150374771339,0.0,1426.150374771339,0.0009903822047023182,79.97773979425219,37.633629017759915,True
10,GENERIC,edge,79.97773979425219,36.207478642988576,1184133,333848.1196410573,333,174.73064,80.94727999999999,66.76962392821146,0.0,322.4475439282114,4.7823173333333336e-05,79.97769197107885,36.852373730844995,False
11,GENERIC,local,79.97769197107885,36.52992618691678,477596,6956008.060006453,840,0.0,0.0,6956.008060006454,0.0,6956.008060006454,0.00483056115278226,79.97286140992607,50.44194230692969,True
12,NAV,local,79.97286140992607,43.485934246923236,820213,340419.6745072559,106,0.0,0.0,340.4196745072525,0.0,340.4196745072525,0.00023640255174114992,79.97262500737433,44.16677359593774,True
13,GENERIC,edge,79.97262500737433,43.82635392143049,200735,5048.478638772435,1258,96.0588,80.16056,1.009695727754487,0.0,177.22905572775448,3.025312888888889e-05,79.97259475424545,44.180812032886,False
14,GENERIC,local,79.97259475424545,44.003582977158246,896350,14065560.361175593,23,0.0,0.0,14065.560361175592,0.0,14065.560361175592,0.009767750250816384,79.96282700399463,72.13470369950943,True
15,NAV,local,79.96282700399463,58.06914333833384,1563629,2275254.763884741,89,0.0,0.0,2275.254763884739,0.0,2275.254763884739,0.0015800380304755142,79.96124696596415,62.619652866103316,True
16,GENERIC,local,79.96124696596415,60.34439810221858,1102542,729528.8122263903,479,0.0,0.0,729.5288122263912,0.0,729.5288122263912,0.000506617230712771,79.96074034873344,61.80345572667136,True
17,GENERIC,edge,79.96074034873344,61.07392691444497,1364638,3183667.2333836104,1220,189.17104,81.09168,636.733446676722,0.0,906.9961666767219,5.104819555555556e-05,79.96068930053788,62.88791924779841,False
18,GENERIC,edge,79.96068930053788,61.98092308112169,391559,707705.1751025463,41,111.32472,80.3132,141.54103502050927,2.7755575615628914e-14,333.1789550205093,3.366251555555556e-05,79.96065563802232,62.6472809911627,True
19,GENERIC,local,79.96065563802232,62.314102036142195,497253,1923466.9620991657,1067,0.0,0.0,1923.4669620991624,0.0,1923.4669620991624,0.0013357409459021981,79.95931989707641,66.16103596034051,True
20,GENERIC,edge,79.95931989707641,64.23756899824136,2547849,293470.10319633305,284,283.82792,82.03824,58.69402063926661,0.0,424.5601806392666,7.218823111111112e-05,79.9592477088453,65.08668935951988,True
21,GENERIC,edge,79.9592477088453,64.66212917888062,851332,1380529.5790957252,2290,148.10656,80.68104,276.1059158191451,0.0,504.8935158191451,4.187712888888889e-05,79.9592058317164,65.67191621051892,False
