task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,local,80.0,0.0,148309,6216112.855485438,359,0.0,0.0,6216.112855485439,0.0,6216.112855485439,0.004316745038531555,79.99568325496146,12.432225710970878,True
2,NAV,local,79.99568325496146,6.216112855485439,1505148,905460.8484096981,3383,0.0,0.0,905.4608484096977,0.0,905.4608484096977,0.0006287922558400682,79.99505446270562,8.027034552304833,False
3,GENERIC,local,79.99505446270562,7.1215737038951366,119276,5239355.203872265,245,0.0,0.0,5239.3552038722655,0.0,5239.3552038722655,0.003638441113800184,79.99141602159182,17.600284111639667,True
4,GENERIC,edge,79.99141602159182,12.360928907767402,176495,1223780.2313882946,76,34.1196,20.14112,244.75604627765892,7.494005416219807e-13,299.01676627765966,9.820035555555557e-06,79.99140620155626,12.958962440322722,True
5,GENERIC,local,79.99140620155626,12.659945674045062,186617,689636.7776631992,1197,0.0,0.0,689.6367776631997,0.0,689.6367776631997,0.0004789144289327772,79.99092728712732,14.039219229371461,False
6,GENERIC,local,79.99092728712732,13.349582451708262,432132,9213861.38539522,317,0.0,0.0,9213.86138539522,0.0,9213.86138539522,0.006398514850968902,79.98452877227635,31.7773052224987,True
7,GENERIC,local,79.98452877227635,22.56344383710348,887750,1662775.756891565,148,0.0,0.0,1662.7757568915663,0.0,1662.7757568915663,0.0011547053867302533,79.98337406688962,25.888995350886614,True
8,NAV,local,79.98337406688962,24.226219593995047,538704,8441888.959564107,1525,0.0,0.0,8441.888959564103,0.0,8441.888959564103,0.005862422888586185,79.97751164400104,41.109997513123254,True
9,SLAM,local,79.97751164400104,32.66810855355915,478418,1705540.0575307095,344,0.0,0.0,1705.5400575307117,0.0,1705.5400575307117,0.0011844028177296594,79.97632724118331,36.079188668620574,True
10,GENERIC,local,79.97632724118331,34.37364861108986,129814,611409.4770708334,158,0.0,0.0,611.4094770708363,0.0,611.4094770708363,0.0004245899146325232,79.97590265126868,35.596467565231535,True
11,GENERIC,local,79.97590265126868,34.9850580881607,403270,2813976.4070919277,1486,0.0,0.0,2813.976407091928,0.0,2813.976407091928,0.0019541502827027275,79.97394850098598,40.613010902344556,True
12,GENERIC,local,79.97394850098598,37.79903449525263,2281040,3769.842517818089,872,0.0,0.0,3.7698425178191997,0.0,3.7698425178191997,2.6179461929292284e-06,79.97394588303979,37.806574180288266,False
13,GENERIC,edge,79.97394588303979,37.802804337770446,585444,1497096.5959834477,1453,66.83552,20.468320000000002,299.41931919668957,0.0,386.72315919668955,1.7126595555555557e-05,79.97392875644424,38.57625065616382,False
14,GENERIC,edge,79.97392875644424,38.18952749696713,1317864,8825422.23083876,2631,125.42912000000001,21.05424,1765.0844461677523,2.886579864025407e-12,1911.5678061677552,3.0212497777777783e-05,79.97389854394646,42.012663109302636,False
15,NAV,local,79.97389854394646,40.10109530313488,340238,8764718.707892653,869,0.0,0.0,8764.718707892654,0.0,8764.718707892654,0.006086610213814342,79.96781193373265,57.63053271892019,True
16,GENERIC,local,79.96781193373265,48.86581401102754,598225,3751409.9031396583,3871,0.0,0.0,3751.40990313966,0.0,3751.40990313966,0.0026051457660692073,79.96520678796658,56.36863381730686,False
17,GENERIC,local,79.96520678796658,52.6172239141672,1117555,9971108.88150801,2336,0.0,0.0,9971.10888150801,0.0,9971.10888150801,0.006924381167713895,79.95828240679887,72.55944167718322,True
18,NAV,local,79.95828240679887,62.58833279567521,104183,140280.44494267373,10,0.0,0.0,140.28044494267533,0.0,140.28044494267533,9.741697565463453e-05,79.95818498982322,62.86889368556056,True
19,GENERIC,local,79.95818498982322,62.72861324061788,480711,477105.93896154786,1647,0.0,0.0,477.1059389615502,0.0,477.1059389615502,0.0003313235687232971,79.9578536662545,63.68282511854098,False
20,GENERIC,local,79.9578536662545,63.20571917957943,1924984,507783.89921453653,598,0.0,0.0,507.78389921453737,0.0,507.78389921453737,0.0003526277077878725,79.95750103854671,64.22128697800851,False
21,GENERIC,local,79.95750103854671,63.71350307879397,256196,7519077.374074455,1947,0.0,0.0,7519.077374074449,0.0,7519.077374074449,0.005221581509773927,79.95227945703694,78.75165782694287,True
22,GENERIC,local,79.95227945703694,71.23258045286842,231054,1389994.0555429438,32,0.0,0.0,1389.9940555429425,0.0,1389.9940555429425,0.0009652736496825998,79.95131418338725,74.0125685639543,True
23,GENERIC,local,79.95131418338725,72.62257450841136,332983,100791.62783501673,377,0.0,0.0,100.79162783502227,0.0,100.79162783502227,6.99941859965394e-05,79.95124418920126,72.8241577640814,False
24,GENERIC,local,79.95124418920126,72.72336613624638,94418,1311445.0985380402,2798,0.0,0.0,1311.4450985380445,0.0,1311.4450985380445,0.000910725762873639,79.95033346343838,75.34625633332247,False
25,GENERIC,local,79.95033346343838,74.03481123478443,1105780,362136.3464361863,2063,0.0,0.0,362.13634643618775,0.0,362.13634643618775,0.00025148357391401824,79.95008197986446,74.7590839276568,False
26,GENERIC,local,79.95008197986446,74.39694758122062,117399,1356580.496146879,388,0.0,0.0,1356.5804961468757,0.0,1356.5804961468757,0.0009420697889908883,79.94913991007547,77.11010857351437,True
27,GENERIC,local,79.94913991007547,75.75352807736749,3590447,7499468.63890655,75,0.0,0.0,7499.468638906549,0.0,7499.468638906549,0.0052079643325739925,79.9439319457429,90.75246535518059,True
28,NAV,local,79.9439319457429,83.25299671627404,1804997,55336.78146463607,325,0.0,0.0,55.33678146463217,0.0,55.33678146463217,3.842832046155283e-05,79.94389351742244,83.3636702792033,False
29,GENERIC,edge,79.94389351742244,83.30833349773867,1859866,653832.578167416,1745,168.78928,21.487840000000002,130.7665156334832,0.0,321.0436356334832,3.9896266666666666e-05,79.94385362115577,83.95042076900565,False
30,GENERIC,local,79.94385362115577,83.62937713337216,1553127,3036690.6750089894,1132,0.0,0.0,3036.690675008984,0.0,3036.690675008984,0.0021088129687562426,79.94174480818701,89.70275848339013,True
31,GENERIC,edge,79.94174480818701,86.66606780838114,1641317,3270270.658366823,209,151.30536,21.31304,654.0541316733646,0.0,826.6725316733646,3.599152888888889e-05,79.94170881665812,88.31941287172786,True
32,GENERIC,edge,79.94170881665812,87.4927403400545,260996,1856598.4207402961,221,40.87968,20.20872,371.3196841480592,3.164135620181696e-12,432.40808414806236,1.1329786666666666e-05,79.94169748687145,88.35755650835063,True
33,GENERIC,local,79.94169748687145,87.92514842420256,429128,12328219.829231724,38,0.0,0.0,12328.219829231728,0.0,12328.219829231728,0.008561263770299808,79.93313622310114,112.58158808266602,True
34,GENERIC,local,79.93313622310114,100.25336825343429,1003961,1214247.2559065633,1101,0.0,0.0,1214.2472559065568,0.0,1214.2472559065568,0.0008432272610462246,79.9322929958401,102.6818627652474,True
35,GENERIC,edge,79.9322929958401,101.46761550934085,850717,5761785.26551239,1556,88.05736,20.68056,1152.357053102478,0.0,1261.094973102478,2.1866142222222223e-05,79.93227112969788,103.98980545554579,False
36,GENERIC,local,79.93227112969788,102.72871048244332,1011127,2341447.550495874,111,0.0,0.0,2341.447550495872,0.0,2341.447550495872,0.0016260052433999127,79.93064512445449,107.41160558343506,True
37,NAV,local,79.93064512445449,105.07015803293919,1563220,1240931.3136949448,103,0.0,0.0,1240.9313136949436,0.0,1240.9313136949436,0.0008617578567326005,79.92978336659775,107.55202066032908,True
