task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,edge,80.0,0.0,818754,9903834.829196494,194,85.50032,20.65496,1980.7669658392988,0.0,2086.9222458392987,2.129506666666667e-05,79.99997870493333,4.173844491678597,True
2,NAV,local,79.99997870493333,2.0869222458392986,130059,44223.12258860839,170,0.0,0.0,44.22312258860828,0.0,44.22312258860828,3.071050179764472e-05,79.99994799443152,2.175368491016515,False
3,GENERIC,edge,79.99994799443152,2.131145368427907,4777002,5912855.017755541,475,402.16016,23.8216,1182.571003551108,0.0,1608.5527635511082,9.20157688888889e-05,79.99985597866264,5.348250895530124,True
4,GENERIC,edge,79.99985597866264,3.7396981319790155,413876,381994.52094620705,1842,53.11008,20.33104,76.3989041892414,4.163336342344337e-14,149.84002418924146,1.4061244444444446e-05,79.9998419174182,4.039378180357499,False
5,NAV,local,79.9998419174182,3.889538156168257,76171,497044.344457303,3192,0.0,0.0,497.0443444573034,0.0,497.0443444573034,0.00034516968365090486,79.99949674773454,4.883626845082864,False
6,NAV,local,79.99949674773454,4.38658250062556,1029360,17461217.504700914,35,0.0,0.0,17461.217504700915,0.0,17461.217504700915,0.012125845489375637,79.98737090224516,39.30901751002739,True
7,GENERIC,edge,79.98737090224516,21.847800005326476,680222,12437918.769056803,208,74.41776,20.544159999999998,2487.58375381136,4.440892098500626e-13,2582.5456738113603,1.8819964444444443e-05,79.98735208228072,27.012891352949197,True
8,SLAM,local,79.98735208228072,24.430345679137837,52907,5599948.129232015,1696,0.0,0.0,5599.948129232015,0.0,5599.948129232015,0.0038888528675222332,79.9834632294132,35.630241937601866,True
9,GENERIC,edge,79.9834632294132,30.03029380836985,40441,6251479.724790505,1335,23.23528,20.08192,1250.295944958101,0.0,1293.6131449581012,7.39472e-06,79.9834558346932,32.61752009828605,False
10,GENERIC,edge,79.9834558346932,31.323906953327953,1861006,4978810.353929109,891,168.88048,21.488799999999998,995.7620707858218,0.0,1186.131350785822,3.991664e-05,79.9834159180532,33.69616965489959,True
11,SLAM,local,79.9834159180532,32.51003830411377,637555,7900844.049574568,1151,0.0,0.0,7900.844049574566,0.0,7900.844049574566,0.0054866972566490054,79.97792922079655,48.3117264032629,True
12,GENERIC,edge,79.97792922079655,40.410882353688336,1795850,9144696.661764553,44,163.66799999999998,21.43664,1828.9393323529107,0.0,2014.0439723529105,3.8752515555555554e-05,79.977890468281,44.43897029839415,True
13,SLAM,local,79.977890468281,42.424926326041245,15409,7001058.469422405,1040,0.0,0.0,7001.0584694224035,0.0,7001.0584694224035,0.004861846159321114,79.97302862212169,56.42704326488605,True
14,GENERIC,edge,79.97302862212169,49.42598479546365,5487781,2205549.209921269,221,459.02248000000003,24.39016,441.1098419842539,3.552713678800501e-12,924.5224819842575,0.00010471501333333334,79.97292390710835,51.275029759432165,True
15,GENERIC,edge,79.97292390710835,50.35050727744791,1908940,4666256.4730539145,61,172.71519999999998,21.52712,933.2512946107829,1.1102230246251565e-12,1127.4936146107839,4.077305777777778e-05,79.97288313405058,52.60549450666948,True
16,NAV,local,79.97288313405058,51.478000892058695,1023140,653332.2033750878,197,0.0,0.0,653.3322033750864,0.0,653.3322033750864,0.0004537029190104776,79.97242943113156,52.78466529880887,True
17,GENERIC,edge,79.97242943113156,52.13133309543378,1892866,4833147.106591216,347,171.42927999999998,21.51424,966.6294213182432,2.1094237467877974e-12,1159.5729413182453,4.0485866666666665e-05,79.9723889452649,54.45047897807027,True
18,SLAM,local,79.9723889452649,53.29090603675203,7090,1600422.9579864983,1165,0.0,0.0,1600.4229579864955,0.0,1600.4229579864955,0.0011114048319350684,79.97127754043296,56.49175195272502,True
19,GENERIC,edge,79.97127754043296,54.89132899473852,224365,9182457.970741954,1775,37.949200000000005,20.17944,1836.4915941483907,6.661338147750939e-13,1894.6202341483913,1.0675315555555554e-05,79.97126686511741,58.680569463035305,True
20,GENERIC,local,79.97126686511741,56.78594922888691,319371,335382.390884583,717,0.0,0.0,335.38239088458255,0.0,335.38239088458255,0.00023290443811429374,79.97103396067929,57.45671401065608,False
21,GENERIC,edge,79.97103396067929,57.121331619771496,828808,3343747.1574965203,334,86.30464,20.663040000000002,668.7494314993041,3.3306690738754696e-12,775.7171114993075,2.1474702222222226e-05,79.97101248597707,58.67276584277011,True
22,GENERIC,edge,79.97101248597707,57.89704873127081,830571,14310848.536133077,75,86.44568,20.6644,2862.169707226615,0.0,2969.279787226615,2.1506195555555558e-05,79.97099097978152,63.83560830572404,True
23,GENERIC,edge,79.97099097978152,60.86632851849742,1122927,386350.03459313285,582,109.83416,20.898320000000002,77.27000691862656,0.0,208.00248691862657,2.6729626666666666e-05,79.97096425015485,61.282333492334665,False
24,GENERIC,edge,79.97096425015485,61.07433100541604,92261,11628914.996234607,1472,27.38088,20.08192,2325.7829992469215,0.0,2373.2457992469217,8.315964444444445e-06,79.9709559341904,65.82082260390989,True
25,GENERIC,edge,79.9709559341904,63.447576804662965,1830191,1392833.9559393357,1208,166.41528,21.46408,278.5667911878671,3.2751579226442118e-12,466.4461511878704,3.9366071111111115e-05,79.97091656811929,64.3804691070387,False
26,NAV,local,79.97091656811929,63.91402295585084,332474,2658896.0256865826,150,0.0,0.0,2658.8960256865876,0.0,2658.8960256865876,0.00184645557339346,79.9690701125459,69.23181500722401,True
27,GENERIC,edge,79.9690701125459,66.57291898153743,301771,1318192.1688409005,909,44.14168,20.24136,263.6384337681801,0.0,328.0214737681801,1.2058302222222223e-05,79.96905805424367,67.22896192907378,False
28,GENERIC,edge,79.96905805424367,66.9009404553056,412804,3431196.5764706424,2399,53.02432,20.33024,686.2393152941285,2.3314683517128287e-12,759.5938752941308,1.404209777777778e-05,79.9690440121459,68.42012820589387,False
29,GENERIC,edge,79.9690440121459,67.66053433059975,2915707,5749181.972067057,1622,253.25656,22.33256,1149.8363944134114,1.3322676295501878e-12,1425.4255144134129,5.876063111111112e-05,79.9689852515148,70.51138535942657,False
30,GENERIC,edge,79.9689852515148,69.08595984501315,1422275,5803476.215260082,595,133.78199999999998,21.137760000000004,1160.6952430520164,1.7763568394002505e-12,1315.6150030520182,3.207797333333333e-05,79.96895317354146,71.71718985111718,True
31,GENERIC,edge,79.96895317354146,70.40157484806517,1395649,25572.62042160098,372,131.65192000000002,21.11648,5.114524084320196,0.0,157.88292408432022,3.160225777777778e-05,79.96892157128369,70.7173406962338,False
32,SLAM,local,79.96892157128369,70.55945777214949,145252,1040996.9419531593,15,0.0,0.0,1040.9969419531535,0.0,1040.9969419531535,0.0007229145430230273,79.96819865674067,72.64145165605579,True
33,NAV,local,79.96819865674067,71.60045471410264,520675,3480088.796835481,1016,0.0,0.0,3480.0887968354746,0.0,3480.0887968354746,0.0024167283311357507,79.96578192840953,78.56063230777359,True
34,GENERIC,edge,79.96578192840953,75.08054351093811,143873,12639717.751060346,999,31.509839999999997,20.11504,2527.943550212069,2.6645352591003757e-12,2579.5684302120717,9.237191111111111e-06,79.96577269121842,80.23968037136225,True
35,GENERIC,edge,79.96577269121842,77.66011194115018,407223,4503490.565708407,383,52.57784,20.325760000000002,900.6981131416815,4.9960036108132044e-12,973.6017131416866,1.3942382222222224e-05,79.9657587488362,79.60731536743356,True
36,GENERIC,edge,79.9657587488362,78.63371365429187,17240,7940363.571822657,124,21.3792,20.08192,1588.0727143645315,0.0,1629.5338343645317,6.982257777777778e-06,79.96575176657842,81.89278132302093,True
37,NAV,local,79.96575176657842,80.26324748865639,866576,9751125.125306068,2595,0.0,0.0,9751.12512530606,0.0,9751.12512530606,0.006771614670351436,79.95898015190807,99.76549773926851,True
38,NAV,local,79.95898015190807,90.01437261396245,587572,14227789.237045242,2184,0.0,0.0,14227.789237045243,0.0,14227.789237045243,0.00988040919239253,79.94909974271567,118.46995108805294,True
39,GENERIC,edge,79.94909974271567,104.2421618510077,299248,1605558.3214786837,161,43.939840000000004,20.23936,321.1116642957367,5.384581669432009e-12,385.2908642957421,1.2013226666666668e-05,79.94908772948901,105.01274357959917,True
40,GENERIC,edge,79.94908772948901,104.62745271530343,1671373,5393563.984270604,188,153.70983999999999,21.337040000000002,1078.7127968541208,0.0,1253.7596768541207,3.652852444444445e-05,79.94905120096456,107.13497206901168,True
41,GENERIC,edge,79.94905120096456,105.88121239215756,2318916,3196697.6250110315,1555,205.51327999999998,21.85512,639.3395250022063,0.0,866.7079250022064,4.809796444444444e-05,79.94900310300012,107.61462824216197,False
42,GENERIC,local,79.94900310300012,106.74792031715977,719143,2373448.8578351764,611,0.0,0.0,2373.4488578351716,0.0,2373.4488578351716,0.0016482283734966506,79.94735487462663,111.49481803283011,True
43,SLAM,local,79.94735487462663,109.12136917499494,225231,9064780.25774874,654,0.0,0.0,9064.780257748736,0.0,9064.780257748736,0.006294986290103292,79.94105988833653,127.25092969049241,True
44,GENERIC,edge,79.94105988833653,118.18614943274368,200644,211446.92784890605,254,36.051520000000004,20.16048,42.28938556978121,6.689093723366568e-12,98.50138556978791,1.0251502222222223e-05,79.94104963683431,118.38315220388326,False
45,NAV,local,79.94104963683431,118.28465081831347,334300,14326514.38494079,574,0.0,0.0,14326.51438494078,0.0,14326.51438494078,0.00994896832287555,79.93110066851143,146.937679588195,True
46,NAV,local,79.93110066851143,132.61116520325425,1700866,1795661.9019597142,189,0.0,0.0,1795.6619019597042,0.0,1795.6619019597042,0.0012469874319164683,79.92985368107952,136.20248900717365,True
47,GENERIC,local,79.92985368107952,134.40682710521395,1145470,1959626.4195346753,1239,0.0,0.0,1959.6264195346862,0.0,1959.6264195346862,0.0013608516802324135,79.92849282939929,138.32607994428332,True
48,GENERIC,edge,79.92849282939929,136.36645352474864,720720,27385.056427641535,895,77.6576,20.57656,5.477011285528307,6.820065345802817e-12,103.71117128553513,1.954352888888889e-05,79.9284732858704,136.5738758673197,False
49,GENERIC,local,79.9284732858704,136.47016469603417,1488227,2081596.29577911,1100,0.0,0.0,2081.5962957791216,0.0,2081.5962957791216,0.0014455529831799375,79.92702773288721,140.63335728759242,True
50,NAV,local,79.92702773288721,138.5517609918133,1674846,3243286.8091967343,2875,0.0,0.0,3243.2868091967466,0.0,3243.2868091967466,0.0022522825063866214,79.92477545038082,145.0383346102068,True
51,NAV,local,79.92477545038082,141.79504780101004,506411,884383.0106798484,299,0.0,0.0,884.3830106798407,0.0,884.3830106798407,0.0006141548685276724,79.92416129551229,143.56381382236972,True
52,GENERIC,edge,79.92416129551229,142.67943081168988,793506,2214735.1346512935,3291,83.48048000000001,20.634800000000002,442.94702693025874,0.0,547.0623069302588,2.084397333333334e-05,79.92414045153896,143.7735554255504,False
53,NAV,local,79.92414045153896,143.22649311862014,1531410,4080151.9662127984,1788,0.0,0.0,4080.1519662128103,0.0,4080.1519662128103,0.0028334388654255543,79.92130701267354,151.38679705104576,True
54,GENERIC,local,79.92130701267354,147.30664508483295,3022692,2016618.7252929965,259,0.0,0.0,2016.6187252930001,0.0,2016.6187252930001,0.0014004296703423586,79.9199065830032,151.33988253541895,True
55,GENERIC,edge,79.9199065830032,149.32326381012595,31998,51441.58489647652,15,22.55984,20.08192,10.288316979295303,0.0,52.93007697929531,7.244622222222223e-06,79.91989933838097,149.42912396408454,True
56,GENERIC,edge,79.91989933838097,149.37619388710525,125767,7961824.140078103,1496,30.06136,20.10056,1592.3648280156206,1.2212453270876722e-11,1642.5267480156328,8.913697777777778e-06,79.91989042468319,152.6612473831365,True
57,GENERIC,local,79.91989042468319,151.01872063512087,596951,5895993.605832277,492,0.0,0.0,5895.993605832274,0.0,5895.993605832274,0.004094440004050192,79.91579598467914,162.81070784678542,True
58,GENERIC,edge,79.91579598467914,156.91471424095315,1171789,12997099.364206608,4091,113.74312,20.93736,2599.4198728413216,0.0,2734.1003528413216,2.7602622222222227e-05,79.91576838205691,162.3829149466358,False
59,NAV,local,79.91576838205691,159.64881459379447,780840,12548527.653828356,232,0.0,0.0,12548.527653828358,0.0,12548.527653828358,0.00871425531515858,79.90705412674176,184.7458699014512,True
60,SLAM,local,79.90705412674176,172.19734224762283,337395,1322035.2040416715,1672,0.0,0.0,1322.0352040416685,0.0,1322.0352040416685,0.0009180800028067163,79.90613604673895,174.84141265570616,False
61,GENERIC,edge,79.90613604673895,173.5193774516645,93645,3579559.554267813,1190,27.491600000000002,20.08192,715.9119108535626,0.0,763.4854308535625,8.340568888888889e-06,79.90612770617007,175.0463483133716,False
62,NAV,local,79.90612770617007,174.28286288251803,14726,5956232.387511947,510,0.0,0.0,5956.23238751196,0.0,5956.23238751196,0.004136272491327741,79.90199143367875,186.19532765754195,True
63,NAV,local,79.90199143367875,180.23909527003,297459,1069065.6459698966,841,0.0,0.0,1069.0656459698857,0.0,1069.0656459698857,0.000742406698590206,79.90124902698015,182.37722656196976,True
64,GENERIC,edge,79.90124902698015,181.30816091599988,572814,1998374.7840227208,39,65.82512,20.45824,399.6749568045442,1.7208456881689926e-12,485.9583168045459,1.6900942222222222e-05,79.90123212603793,182.280077549609,True
