task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,NAV,local,80.0,0.0,2498684,1243255.1479568493,620,0.0,0.0,1243.2551479568492,0.0,1243.2551479568492,0.0008633716305255898,79.99913662836947,2.4865102959136984,True
2,GENERIC,edge,79.99913662836947,1.2432551479568492,3302597,4829219.80084669,689,284.20776,22.642,965.8439601693381,2.220446049250313e-13,1272.6937201693383,6.56730577777778e-05,79.9990709553117,3.7886425882955255,True
3,SLAM,local,79.9990709553117,2.5159488681261872,976878,15299961.069151836,791,0.0,0.0,15299.961069151834,0.0,15299.961069151834,0.010624972964688777,79.988445982347,33.115871006429856,True
4,GENERIC,local,79.988445982347,17.815909937278022,1193870,1550504.4562547142,1902,0.0,0.0,1550.5044562547141,0.0,1550.5044562547141,0.0010767392057324404,79.98736924314127,20.91691884978745,False
5,SLAM,local,79.98736924314127,19.366414393532736,211061,5746576.954422303,685,0.0,0.0,5746.576954422302,0.0,5746.576954422302,0.003990678440571043,79.9833785647007,30.85956830237734,True
6,GENERIC,edge,79.9833785647007,25.112991347955038,1907060,5652713.167711285,856,172.5648,21.525599999999997,1130.5426335422571,1.7763568394002505e-12,1324.6330335422588,4.073946666666667e-05,79.98333782523403,27.762257415039556,True
7,NAV,local,79.98333782523403,26.437624381497297,132464,22765214.55647547,1826,0.0,0.0,22765.214556475476,0.0,22765.214556475476,0.01580917677533019,79.9675286484587,71.96805349444824,True
8,NAV,local,79.9675286484587,49.20283893797277,4605336,5909387.251507822,108,0.0,0.0,5909.387251507823,0.0,5909.387251507823,0.0041037411468804325,79.96342490731182,61.02161344098842,True
9,GENERIC,edge,79.96342490731182,55.112226189480594,1841250,21599139.644643042,1137,167.29999999999998,21.47296,4319.827928928608,1.7763568394002505e-12,4508.60088892861,3.956366222222222e-05,79.96338534364959,64.1294279673378,True
10,GENERIC,local,79.96338534364959,59.6208270784092,3242047,18334209.546538644,402,0.0,0.0,18334.209546538637,0.0,18334.209546538637,0.01273208996287406,79.95065325368672,96.28924617148647,True
11,GENERIC,edge,79.95065325368672,77.95503662494784,382737,15089952.716256214,1518,50.61896,20.30616,3017.990543251243,1.3322676295501878e-12,3088.915663251244,1.350489777777778e-05,79.95063974878894,84.13286795145032,True
12,GENERIC,local,79.95063974878894,81.04395228819908,962484,1646437.8200792996,927,0.0,0.0,1646.4378200792994,0.0,1646.4378200792994,0.0011433595972772915,79.94949638919167,84.33682792835768,True
13,GENERIC,local,79.94949638919167,82.69039010827838,252183,5464436.08054453,1510,0.0,0.0,5464.43608054453,0.0,5464.43608054453,0.003794747278155924,79.94570164191352,93.61926226936744,True
14,GENERIC,edge,79.94570164191352,88.15482618882291,88545,27182810.17029842,920,27.0836,20.08192,5436.562034059684,6.217248937900877e-12,5483.72755405969,8.249902222222224e-06,79.9456933920113,99.12228129694228,True
15,NAV,local,79.9456933920113,93.63855374288259,189108,8744308.486209875,167,0.0,0.0,8744.308486209875,0.0,8744.308486209875,0.006072436448756858,79.93962095556253,111.12717071530234,True
16,GENERIC,edge,79.93962095556253,102.38286222909247,241894,6128991.644100061,585,39.35152,20.19344,1225.798328820012,0.0,1285.343288820012,1.0988497777777778e-05,79.93960996706475,104.95354880673248,True
17,NAV,local,79.93960996706475,103.66820551791247,4904243,30042772.152475778,132,0.0,0.0,30042.772152475776,0.0,30042.772152475776,0.020863036216997068,79.91874693084776,163.75374982286402,True
18,GENERIC,edge,79.91874693084776,133.71097767038825,9493031,18732108.938337784,2163,779.44248,27.5944,3746.4217876675566,0.0,4553.458667667556,0.00017627548444444445,79.91857065536331,142.81789500572336,True
19,GENERIC,local,79.91857065536331,138.2644363380558,1445728,22160793.0264842,1214,0.0,0.0,22160.793026484185,0.0,22160.793026484185,0.015389439601725138,79.90318121576159,182.58602239102416,True
20,GENERIC,edge,79.90318121576159,160.42522936453997,1021524,9968483.241813442,97,101.72192000000001,20.8172,1993.6966483626884,0.0,2116.2357683626883,2.4917893333333338e-05,79.90315629786826,164.65770090126534,True
21,GENERIC,edge,79.90315629786826,162.54146513290266,1087631,9242657.136258626,857,107.01048,20.870079999999998,1848.5314272517253,0.0,1976.4119872517251,2.6099004444444448e-05,79.90313019886382,166.49428910740613,True
22,GENERIC,edge,79.90313019886382,164.5178771201544,5107798,3172239.4809326557,426,428.62384000000003,24.086160000000003,634.4478961865312,1.2212453270876722e-11,1087.1578961865437,9.792598222222224e-05,79.9030322728816,166.69219291252747,True
23,NAV,local,79.9030322728816,165.60503501634093,3683833,9799140.109699797,3352,0.0,0.0,9799.140109699805,0.0,9799.140109699805,0.006804958409513747,79.89622731447209,185.20331523574055,True
24,GENERIC,edge,79.89622731447209,175.40417512604074,6689495,2007563.8984071335,207,555.1596,25.35152,401.5127796814267,1.304512053934559e-11,982.0238996814397,0.00012618563555555557,79.89610112883653,177.36822292540361,True
25,SLAM,local,79.89610112883653,176.38619902572216,9573584,2037733.7779864925,613,0.0,0.0,2037.7337779864888,0.0,2037.7337779864888,0.0014150929013795085,79.89468603593515,180.46166658169514,True
26,NAV,local,79.89468603593515,178.42393280370865,57844,6313960.340817087,949,0.0,0.0,6313.96034081709,0.0,6313.96034081709,0.004384694681122977,79.89030134125403,191.05185348534283,True
27,GENERIC,local,79.89030134125403,184.73789314452574,5161717,15785810.260945704,3018,0.0,0.0,15785.81026094571,0.0,15785.81026094571,0.01096236823676785,79.87933897301727,216.30951366641716,True
28,NAV,local,79.87933897301727,200.52370340547145,291917,11558777.17828749,167,0.0,0.0,11558.777178287499,0.0,11558.777178287499,0.008026928596032979,79.87131204442123,223.64125776204645,True
29,NAV,local,79.87131204442123,212.08248058375895,2519675,1063837.3621346615,974,0.0,0.0,1063.8373621346489,0.0,1063.8373621346489,0.0007387759459268484,79.8705732684753,214.21015530802825,True
30,NAV,local,79.8705732684753,213.1463179458936,1160888,118775.25438997532,471,0.0,0.0,118.7752543899876,0.0,118.7752543899876,8.248281554859398e-05,79.87049078565975,213.38386845467357,False
31,SLAM,local,79.87049078565975,213.2650932002836,634692,1149693.9523436239,857,0.0,0.0,1149.6939523436254,0.0,1149.6939523436254,0.0007983985780164054,79.86969238708174,215.56448110497084,True
32,GENERIC,local,79.86969238708174,214.4147871526272,467159,358720.1002505754,312,0.0,0.0,358.7201002505651,0.0,358.7201002505651,0.00024911118072956623,79.869443275901,215.13222735312834,True
33,NAV,local,79.869443275901,214.77350725287778,2186800,611210.9298063801,1215,0.0,0.0,611.2109298063899,0.0,611.2109298063899,0.0004244520345877639,79.86901882386641,215.99592911249056,False
34,NAV,local,79.86901882386641,215.38471818268417,529921,10463099.432204911,644,0.0,0.0,10463.0994322049,0.0,10463.0994322049,0.007266041272364522,79.86175278259405,236.31091704709397,True
35,GENERIC,edge,79.86175278259405,225.84781761488907,706673,8831899.89096126,355,76.53384000000001,20.56528,1766.379978192252,0.0,1863.4790981922522,1.929255111111111e-05,79.86173349004294,229.57477581127355,True
36,SLAM,local,79.86173349004294,227.7112967130813,5102429,11161769.773070963,795,0.0,0.0,11161.769773070971,0.0,11161.769773070971,0.007751229009077058,79.85398226103386,250.03483625922325,True
37,GENERIC,local,79.85398226103386,238.87306648615228,1975006,10293098.550918417,729,0.0,0.0,10293.098550918416,0.0,10293.098550918416,0.007147985104804457,79.84683427592906,259.4592635879891,True
38,NAV,local,79.84683427592906,249.1661650370707,5598472,8156100.86167599,1712,0.0,0.0,8156.100861676009,0.0,8156.100861676009,0.005663958931719438,79.84117031699734,265.4783667604227,True
39,GENERIC,local,79.84117031699734,257.3222658987467,52707,915821.9508075351,2135,0.0,0.0,915.8219508075263,0.0,915.8219508075263,0.0006359874658385659,79.8405343295315,259.15390980036176,False
40,GENERIC,local,79.8405343295315,258.23808784955423,4696809,2105152.6504070493,4210,0.0,0.0,2105.1526504070353,0.0,2105.1526504070353,0.001461911562782673,79.83907241796871,262.4483931503683,False
41,GENERIC,edge,79.83907241796871,260.34324049996127,1524395,2368229.3443048354,665,141.95159999999998,21.21944,473.6458688609671,0.0,636.816908860967,3.390251555555555e-05,79.83903851545315,261.6168743176832,False
42,NAV,local,79.83903851545315,260.98005740882223,877172,4679105.050631111,310,0.0,0.0,4679.105050631108,0.0,4679.105050631108,0.0032493785073827155,79.83578913694578,270.33826751008445,True
43,NAV,local,79.83578913694578,265.65916245945334,3421351,3547458.892203475,453,0.0,0.0,3547.4588922034513,0.0,3547.4588922034513,0.0024635131195857463,79.8333256238262,272.75408024386024,True
44,GENERIC,local,79.8333256238262,269.2066213516568,2512732,4746231.265056683,370,0.0,0.0,4746.231265056678,0.0,4746.231265056678,0.0032959939340671414,79.83002962989212,278.69908388177015,True
45,NAV,local,79.83002962989212,273.95285261671347,1303977,3752934.6788889184,5267,0.0,0.0,3752.9346788888915,0.0,3752.9346788888915,0.002606204638117304,79.82742342525401,281.45872197449125,False
46,NAV,local,79.82742342525401,277.70578729560236,1887471,5991839.00243296,49,0.0,0.0,5991.839002432982,0.0,5991.839002432982,0.004160999307245112,79.82326242594677,289.6894653004683,True
47,NAV,local,79.82326242594677,283.69762629803535,4552605,12436134.134526936,240,0.0,0.0,12436.134134526925,0.0,12436.134134526925,0.00863620426008815,79.81462622168668,308.5698945670892,True
48,NAV,local,79.81462622168668,296.13376043256227,5844661,7106970.73227755,1260,0.0,0.0,7106.970732277546,0.0,7106.970732277546,0.00493539634185941,79.80969082534482,310.34770189711736,True
49,GENERIC,edge,79.80969082534482,303.2407311648398,634139,5542131.796421804,2450,70.73111999999999,20.507279999999998,1108.4263592843608,0.0,1199.6647592843608,1.7996613333333332e-05,79.80967282873148,305.64006068340854,False
50,NAV,local,79.80967282873148,304.4403959241242,4475822,14741116.056870455,724,0.0,0.0,14741.116056870453,0.0,14741.116056870453,0.010236886150604484,79.79943594258087,333.9226280378651,True
51,NAV,local,79.79943594258087,319.1815119809946,3756655,2949300.9463419686,1416,0.0,0.0,2949.300946341964,0.0,2949.300946341964,0.0020481256571819226,79.79738781692369,325.08011387367856,True
52,NAV,local,79.79738781692369,322.1308129273366,350931,9451440.660519293,499,0.0,0.0,9451.440660519267,0.0,9451.440660519267,0.0065635004586939525,79.79082431646499,341.0336942483751,True
53,SLAM,local,79.79082431646499,331.58225358785586,1213255,4916970.205007819,636,0.0,0.0,4916.970205007829,0.0,4916.970205007829,0.003414562642366542,79.78740975382263,341.4161939978715,True
