task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,SLAM,local,80.0,0.0,1179534,4836269.367344486,420,0.0,0.0,4836.2693673444855,0.0,4836.2693673444855,0.003358520393989226,79.99664147960601,9.67253873468897,True
2,GENERIC,edge,79.99664147960601,4.836269367344485,1044935,334152.2303825286,542,103.5948,20.83592,66.83044607650572,1.8041124150158794e-13,191.2611660765059,2.5336168888888893e-05,79.99661614343712,5.218791699497497,False
3,NAV,local,79.99661614343712,5.0275305334209905,642278,26951334.77605664,656,0.0,0.0,26951.33477605664,0.0,26951.33477605664,0.018716204705594888,79.97789993873153,58.93020008553427,True
4,GENERIC,edge,79.97789993873153,31.97886530947763,5229859,18320380.679975055,838,438.38872000000003,24.18384,3664.076135995011,0.0,4126.648695995011,0.0001001068088888889,79.97779983192264,40.23216270146765,True
5,GENERIC,edge,79.97779983192264,36.10551400547264,932926,25315785.629623644,33,94.63408000000001,20.746319999999997,5063.1571259247285,0.0,5178.5375259247285,2.3334942222222225e-05,79.97777649698041,46.46258905732209,True
6,GENERIC,edge,79.97777649698041,41.28405153139737,1926722,6527771.135375933,1435,174.13776000000001,21.541359999999997,1305.5542270751866,0.0,1501.2333470751867,4.1090764444444447e-05,79.97773540621597,44.28651822554774,True
7,GENERIC,edge,79.97773540621597,42.78528487847255,5168559,287330.08487753494,406,433.48472,24.134800000000002,57.46601697550699,0.0,515.085536975507,9.901158222222222e-05,79.97763639463375,43.81545595242356,True
8,SLAM,local,79.97763639463375,43.30037041544806,1629084,2331748.7591844555,1046,0.0,0.0,2331.748759184457,0.0,2331.748759184457,0.001619269971655872,79.97601712466209,47.96386793381697,True
9,GENERIC,local,79.97601712466209,45.632119174632514,5489266,14946995.111616772,246,0.0,0.0,14946.995111616772,0.0,14946.995111616772,0.010379857716400537,79.96563726694569,75.52610939786607,True
10,GENERIC,local,79.96563726694569,60.579114286249286,1946150,8987862.630491143,337,0.0,0.0,8987.862630491143,0.0,8987.862630491143,0.006241571271174405,79.95939569567452,78.55483954723158,True
11,NAV,local,79.95939569567452,69.56697691674043,1699278,2426045.0255438723,760,0.0,0.0,2426.0450255438714,0.0,2426.0450255438714,0.0016847534899610225,79.95771094218456,74.41906696782817,True
12,NAV,local,79.95771094218456,71.9930219422843,784894,12100824.824852206,301,0.0,0.0,12100.82482485221,0.0,12100.82482485221,0.008403350572814031,79.94930759161174,96.19467159198872,True
13,GENERIC,edge,79.94930759161174,84.09384676713651,3371199,7458239.896895364,987,289.69592,22.69688,1491.6479793790727,0.0,1804.0407793790728,6.689874666666668e-05,79.94924069286508,87.70192832589466,True
14,SLAM,local,79.94924069286508,85.89788754651558,6877088,33795510.62329814,816,0.0,0.0,33795.51062329814,0.0,33795.51062329814,0.02346910459951259,79.92577158826556,153.48890879311188,True
15,SLAM,local,79.92577158826556,119.69339816981372,8325799,6334775.021345006,1631,0.0,0.0,6334.77502134501,0.0,6334.77502134501,0.004399149320378476,79.92137243894518,132.36294821250374,True
16,NAV,local,79.92137243894518,126.02817319115873,647822,13398482.219803777,791,0.0,0.0,13398.482219803767,0.0,13398.482219803767,0.0093045015415304,79.91206793740365,152.82513763076628,True
17,GENERIC,edge,79.91206793740365,139.4266554109625,1199602,20055247.769211587,33,115.96816,20.959680000000002,4011.0495538423174,8.881784197001252e-12,4147.977393842326,2.8099555555555562e-05,79.9120398378481,147.72261019864715,True
18,GENERIC,local,79.9120398378481,143.57463280480482,1526032,8969569.111152412,638,0.0,0.0,8969.569111152425,0.0,8969.569111152425,0.006228867438300286,79.9058109704098,161.51377102710967,True
19,GENERIC,edge,79.9058109704098,152.54420191595725,793407,179874.18869450048,278,83.47256,20.634719999999998,35.9748377389001,5.2111093218343285e-12,140.0821177389053,2.0842204444444448e-05,79.90579012820535,152.82436615143504,False
20,GENERIC,local,79.90579012820535,152.68428403369614,6655567,9415758.817180593,194,0.0,0.0,9415.758817180602,0.0,9415.758817180602,0.0065387214008198555,79.89925140680454,171.51580166805735,True
21,NAV,local,79.89925140680454,162.10004285087675,308169,12300785.25820614,421,0.0,0.0,12300.785258206133,0.0,12300.785258206133,0.008542211984865374,79.89070919481968,186.701613367289,True
22,SLAM,local,79.89070919481968,174.40082810908288,651009,3615.996905908655,130,0.0,0.0,3.6159969059212926,0.0,3.6159969059212926,2.511108962436566e-06,79.89070668371072,174.40806010289472,False
23,NAV,local,79.89070668371072,174.4044441059888,43912,340798.6505120384,199,0.0,0.0,340.79865051202773,0.0,340.79865051202773,0.0002366657295222489,79.8904700179812,175.08604140701286,True
