task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,SLAM,local,80.0,0.0,1637508,15846135.72671439,194,0.0,0.0,15846.135726714389,0.0,15846.135726714389,0.011004260921329436,79.98899573907867,31.692271453428777,True
2,NAV,local,79.98899573907867,15.846135726714389,61926,992275.0784785402,10,0.0,0.0,992.2750784785403,0.0,992.2750784785403,0.0006890799156100973,79.98830665916306,17.83068588367147,True
3,NAV,local,79.98830665916306,16.83841080519293,1511955,36445640.380216576,1182,0.0,0.0,36445.64038021657,0.0,36445.64038021657,0.02530947248626151,79.9629971866768,89.72969156562607,True
4,SLAM,local,79.9629971866768,53.2840511854095,1088996,9403332.305222403,394,0.0,0.0,9403.332305222399,0.0,9403.332305222399,0.006530091878626669,79.95646709479817,72.0907157958543,True
5,NAV,local,79.95646709479817,62.6873834906319,3863258,7682358.017593819,118,0.0,0.0,7682.358017593813,0.0,7682.358017593813,0.005334970845551263,79.95113212395262,78.05209952581953,True
6,NAV,local,79.95113212395262,70.36974150822572,208475,25538503.17951944,113,0.0,0.0,25538.503179519437,0.0,25538.503179519437,0.01773507165244406,79.93339705230018,121.44674786726459,True
7,GENERIC,edge,79.93339705230018,95.90824468774515,7323765,285045.0224392778,487,605.9012,25.85896,57.009004487855556,0.0,688.7691644878556,0.00013751792888888888,79.93325953437129,97.28578301672086,True
8,GENERIC,edge,79.93325953437129,96.597013852233,438274,2390988.984733116,284,55.06192,20.35056,478.19779694662316,0.0,553.6102769466231,1.4497155555555557e-05,79.93324503721573,97.70423440612625,True
9,GENERIC,local,79.93324503721573,97.15062412917962,3558155,4586787.923236945,38,0.0,0.0,4586.7879232369405,0.0,4586.7879232369405,0.003185269391136767,79.93005976782459,106.3241999756535,True
10,GENERIC,local,79.93005976782459,101.73741205241656,2222387,3187751.179735208,1774,0.0,0.0,3187.7511797352013,0.0,3187.7511797352013,0.002213716097038339,79.92784605172756,108.11291441188696,True
11,GENERIC,local,79.92784605172756,104.92516323215176,1630913,2124875.7120812284,608,0.0,0.0,2124.8757120812343,0.0,2124.8757120812343,0.001475608133389742,79.92637044359417,109.17491465631423,True
12,GENERIC,edge,79.92637044359417,107.050038944233,890254,13701248.273544153,1828,91.22032,20.71216,2740.249654708831,2.6645352591003757e-12,2852.1821347088335,2.2572533333333335e-05,79.92634787106083,112.75440321365068,True
13,NAV,local,79.92634787106083,109.90222107894184,529538,117567.13946903795,1400,0.0,0.0,117.56713946903119,0.0,117.56713946903119,8.164384685349857e-05,79.92626622721397,110.1373553578799,False
14,GENERIC,edge,79.92626622721397,110.01978821841087,1643146,41868452.06485841,441,151.45167999999998,21.31448,8373.690412971682,1.7763568394002505e-12,8546.456572971683,3.602420444444444e-05,79.92623020300952,127.11270136435422,True
15,NAV,local,79.92623020300952,118.56624479138254,871813,14564062.844029587,933,0.0,0.0,14564.062844029579,0.0,14564.062844029579,0.010113932530576103,79.91611627047895,147.69437047944172,True
16,NAV,local,79.91611627047895,133.13030763541212,1190782,393367.79259829305,975,0.0,0.0,393.3677925982977,0.0,393.3677925982977,0.00027317207819325907,79.91584309840076,133.91704322060872,False
17,NAV,local,79.91584309840076,133.52367542801042,414750,8227807.755091778,1805,0.0,0.0,8227.807755091788,0.0,8227.807755091788,0.005713755385480401,79.91012934301527,149.979290938194,True
18,GENERIC,edge,79.91012934301527,141.7514831831022,729207,8292225.004104419,317,78.33656,20.583360000000003,1658.4450008208837,0.0,1757.3649208208838,1.9695164444444444e-05,79.91010964785083,145.26621302474396,True
19,NAV,local,79.91010964785083,143.50884810392307,2444247,7878169.364954254,213,0.0,0.0,7878.16936495426,0.0,7878.16936495426,0.005470950947884898,79.90463869690295,159.2651868338316,True
20,GENERIC,edge,79.90463869690295,151.38701746887733,3724400,2621078.673916332,3242,317.952,22.97952,524.2157347832664,2.3314683517128287e-12,865.1472547832687,7.320928000000002e-05,79.90456548762295,153.11731197844387,False
