task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,NAV,local,80.0,0.0,3748027,1243255.1479568493,620,0.0,0.0,155.40689349460615,0.0,155.40689349460615,0.00013813946088409436,79.99925330021145,0.3108137869892123,False
2,GENERIC,edge,79.99925330021145,0.15540689349460615,4953895,4829219.80084669,689,2722.0773333333336,106.42026666666666,536.5799778718546,0.0,3365.077577871855,0.0006167305481481482,79.9959196215728,6.885562049238315,True
3,GENERIC,local,79.9959196215728,3.5204844713664603,1465317,15299961.069151836,791,0.0,0.0,1912.4951336439792,0.0,1912.4951336439792,0.0016999956743502043,79.9867304557655,7.345474738654419,True
4,GENERIC,local,79.9867304557655,5.4329796050104395,609683,15223776.696367018,1716,0.0,0.0,1902.9720870458773,0.0,1902.9720870458773,0.0016915307440407798,79.97758704633826,9.238923779102194,True
5,NAV,local,79.97758704633826,7.335951692056317,2259646,5481070.806230478,1479,0.0,0.0,685.1338507788105,0.0,685.1338507788105,0.000609007867358942,79.9742951119201,8.706219393613939,False
6,GENERIC,edge,79.9742951119201,8.021085542835127,2222737,6848320.973468222,473,1265.4597333333336,91.8544,760.9245526075802,1.1102230246251565e-13,2118.238685940914,0.0002914193185185186,79.97271987236054,12.257562914716956,True
7,NAV,local,79.97271987236054,10.139324228776042,8951646,14615688.375223843,351,0.0,0.0,1826.96104690298,0.0,1826.96104690298,0.0016239653750248714,79.96394168114419,13.793246322582002,True
8,GENERIC,local,79.96394168114419,11.966285275679022,2323665,869958.4205839637,1935,0.0,0.0,108.74480257299624,0.0,108.74480257299624,9.666204673155153e-05,79.9634191835943,12.183774880825014,False
9,GENERIC,local,79.9634191835943,12.075030078252018,3577002,790599.4280591635,974,0.0,0.0,98.82492850739588,0.0,98.82492850739588,8.784438089546261e-05,79.96294434910297,12.27267993526681,False
10,GENERIC,edge,79.96294434910297,12.173855006759414,1265785,6021333.434981202,1207,755.0853333333333,86.7504,669.0370483312447,0.0,1510.8727816645778,0.00017743567407407408,79.96198523735121,15.195600570088569,True
11,GENERIC,local,79.96198523735121,13.684727788423992,4775430,411165.33198596037,895,0.0,0.0,51.39566649824445,0.0,51.39566649824445,4.568503688732893e-05,79.96173829120589,13.78751912142048,False
12,SLAM,local,79.96173829120589,13.736123454922236,2917835,27835289.704727896,802,0.0,0.0,3479.4112130909875,0.0,3479.4112130909875,0.0030928099671919886,79.94502039949133,20.69494588110421,True
13,NAV,local,79.94502039949133,17.215534668013223,2148703,12081534.867238618,3106,0.0,0.0,1510.1918584048271,0.0,1510.1918584048271,0.0013423927630265133,79.9377642223939,20.235918384822877,False
14,GENERIC,edge,79.9377642223939,18.72572652641805,132818,27182810.17029842,920,150.83626666666666,80.70826666666667,3020.3122411442687,0.0,3251.856774477602,4.248675555555555e-05,79.93753456425576,25.22944007537325,True
15,NAV,local,79.93753456425576,21.97758330089565,283662,8744308.486209875,167,0.0,0.0,1093.0385607762325,0.0,1093.0385607762325,0.0009715898318010973,79.93228272732709,24.163660422448114,True
16,GENERIC,edge,79.93228272732709,23.07062186167188,362842,6128991.644100061,585,273.51573333333334,81.93493333333333,680.9990715666734,8.881784197001252e-13,1036.4497382333411,6.988515555555556e-05,79.9319049697295,25.143521338138562,True
17,NAV,local,79.9319049697295,24.107071599905222,7356365,30042772.152475778,132,0.0,0.0,3755.346519059472,0.0,3755.346519059472,0.003338085794719531,79.91386126273102,31.617764638024166,True
18,GENERIC,local,79.91386126273102,27.862418118964694,14239546,18732108.938337784,2163,0.0,0.0,2341.5136172922216,0.0,2341.5136172922216,0.0020813454375930873,79.90261074685212,32.54544535354914,True
19,GENERIC,local,79.90261074685212,30.203931736256916,2168592,22160793.0264842,1214,0.0,0.0,2770.099128310523,0.0,2770.099128310523,0.0024623103362760223,79.88930096125063,35.74412999287796,True
20,GENERIC,local,79.88930096125063,32.97403086456744,1532286,9968483.241813442,97,0.0,0.0,1246.0604052266788,0.0,1246.0604052266788,0.0011076092490903825,79.88331388422853,35.4661516750208,True
21,GENERIC,local,79.88331388422853,34.22009126979412,1631447,9242657.136258626,857,0.0,0.0,1155.3321420323286,0.0,1155.3321420323286,0.0010269619040287363,79.87776273880135,36.530755553858775,True
22,GENERIC,edge,79.87776273880135,35.375423411826446,7661697,3172239.4809326557,426,4166.2384,120.86186666666669,352.4710534369617,2.886579864025407e-12,4639.5713201036315,0.0009392598518518518,79.87268565852106,44.65456605203371,True
23,SLAM,local,79.87268565852106,40.014994731930074,5525750,9799140.109699797,3352,0.0,0.0,1224.8925137124756,0.0,1224.8925137124756,0.0010887933455221996,79.86680028908582,42.464779759355025,False
24,GENERIC,local,79.86680028908582,41.23988724564255,10034242,2007563.8984071335,207,0.0,0.0,250.94548730088917,0.0,250.94548730088917,0.0002230626553785704,79.8655945450027,41.74177822024433,True
25,GENERIC,edge,79.8655945450027,41.49083273294344,14360376,2037733.7779864925,613,7738.867200000001,156.58826666666667,226.41486422072137,3.885780586188048e-13,8121.870330887388,0.001737146962962963,79.8562045614191,57.73457339471822,True
26,NAV,local,79.8562045614191,49.61270306383083,2482750,7599796.461961974,715,0.0,0.0,949.9745577452501,0.0,949.9745577452501,0.000844421829106886,79.85164011909961,51.51265217932133,True
27,GENERIC,local,79.85164011909961,50.56267762157608,6207233,24147111.146003686,864,0.0,0.0,3018.38889325046,0.0,3018.38889325046,0.002683012349555965,79.83713734964255,56.599455408077,True
28,NAV,local,79.83713734964255,53.58106651482654,4545096,1343655.8762495914,10,0.0,0.0,167.95698453120167,0.0,167.95698453120167,0.00014929509736106572,79.83633034911628,53.91698048388894,True
29,GENERIC,local,79.83633034911628,53.74902349935774,418317,7792323.9988990445,224,0.0,0.0,974.0404998623831,0.0,974.0404998623831,0.0008658137776554495,79.83165027464246,55.697104499082506,True
30,NAV,local,79.83165027464246,54.72306399922012,1484225,3184518.416551221,302,0.0,0.0,398.0648020689017,0.0,398.0648020689017,0.0003538353796168024,79.82973765096885,55.51919360335793,True
31,NAV,local,79.82973765096885,55.121128801289025,2696479,9436002.652943412,222,0.0,0.0,1179.5003316179234,0.0,1179.5003316179234,0.0010484447392159347,79.82407038210823,57.48012946452487,True
32,NAV,local,79.82407038210823,56.30062913290695,982393,9614372.068617677,319,0.0,0.0,1201.7965085772105,0.0,1201.7965085772105,0.001068263563179742,79.81829598446943,58.70422215006137,True
33,GENERIC,local,79.81829598446943,57.50242564148416,240337,9721301.707885325,153,0.0,0.0,1215.162713485668,0.0,1215.162713485668,0.0010801446342094806,79.81245736482504,59.932751068455495,True
34,GENERIC,local,79.81245736482504,58.71758835496983,2027276,8181525.212640246,336,0.0,0.0,1022.6906515800281,0.0,1022.6906515800281,0.0009090583569600273,79.80754353586849,60.76296965812988,True
35,GENERIC,local,79.80754353586849,59.740279006549855,2062775,4696706.807556305,2433,0.0,0.0,587.0883509445406,0.0,587.0883509445406,0.0005218563119507006,79.80472269093904,60.914455708438936,False
36,GENERIC,local,79.80472269093904,60.327367357494396,5872233,7534051.229586975,1286,0.0,0.0,941.7564036983706,0.0,941.7564036983706,0.0008371168032874417,79.80019773524559,62.21088016489114,False
37,GENERIC,local,79.80019773524559,61.269123761192766,756279,21356478.008340694,1019,0.0,0.0,2669.559751042584,0.0,2669.559751042584,0.002372942000926744,79.78737102172707,66.60824326327793,True
38,GENERIC,local,79.78737102172707,63.93868351223535,79060,915821.9508075351,2135,0.0,0.0,114.47774385094789,0.0,114.47774385094789,0.00010175799453417056,79.78682097851338,64.16763899993725,False
39,GENERIC,local,79.78682097851338,64.0531612560863,7045214,2105152.6504070493,4210,0.0,0.0,263.1440813008794,0.0,263.1440813008794,0.00023390585004522772,79.78555662256719,64.57944941868806,False
40,GENERIC,local,79.78555662256719,64.31630533738718,2286593,2368229.3443048354,665,0.0,0.0,296.02866803810457,0.0,296.02866803810457,0.00026313659381164837,79.78413426260063,64.90836267346339,False
41,GENERIC,edge,79.78413426260063,64.61233400542528,1315759,4679105.050631111,310,781.7381333333333,87.01706666666666,519.9005611812345,0.0,1388.6557611812345,0.00018338814814814814,79.78314297531335,67.38964552778775,True
42,GENERIC,local,79.78314297531335,66.00098976660651,1394917,3630854.8504061988,1529,0.0,0.0,453.8568563007743,0.0,453.8568563007743,0.0004034283167117999,79.7809622817095,66.90870347920806,False
43,GENERIC,local,79.7809622817095,66.45484662290728,1165603,12716886.734313097,270,0.0,0.0,1589.6108417891382,0.0,1589.6108417891382,0.0014129874149236773,79.7733245118991,69.63406830648556,True
44,GENERIC,local,79.7733245118991,68.04445746469642,16568664,2194549.5473396275,900,0.0,0.0,274.31869341745596,0.0,274.31869341745596,0.000243838838593292,79.77200646412292,68.59309485153133,False
45,NAV,local,79.77200646412292,68.31877615811388,630101,17366812.55739102,1554,0.0,0.0,2170.8515696738714,0.0,2170.8515696738714,0.0019296458397101137,79.76157594607044,72.66047929746162,True
46,SLAM,local,79.76157594607044,70.48962772778775,618784,22295613.008488044,888,0.0,0.0,2786.951626061011,0.0,2786.951626061011,0.0024772903342764495,79.74818518750678,76.06353097990977,True
47,GENERIC,local,79.74818518750678,73.27657935384876,7475107,2419052.105363902,692,0.0,0.0,302.3815131704879,0.0,302.3815131704879,0.0002687835672626558,79.74673230335941,73.88134238018974,False
48,SLAM,local,79.74673230335941,73.57896086701925,924708,17073908.190648373,1842,0.0,0.0,2134.2385238310444,0.0,2134.2385238310444,0.0018971009100720417,79.73647770384551,77.84743791468134,True
49,GENERIC,local,79.73647770384551,75.71319939085029,451569,14330502.336483318,368,0.0,0.0,1791.3127920604097,0.0,1791.3127920604097,0.0015922780373870352,79.72787079553531,79.29582497497111,True
50,GENERIC,local,79.72787079553531,77.5045121829107,526396,9451440.660519293,499,0.0,0.0,1181.4300825649157,0.0,1181.4300825649157,0.0010501600733910325,79.72219425459807,79.86737234804053,True
51,GENERIC,edge,79.72219425459807,78.68594226547562,1933431,5090920.451345317,1044,1111.1632,90.31146666666667,565.6578279272575,0.0,1767.1324945939243,0.000256959762962963,79.72080528290637,82.22020725466346,True
52,GENERIC,local,79.72080528290637,80.45307476006954,2097580,13643614.942028968,338,0.0,0.0,1705.4518677536237,0.0,1705.4518677536237,0.0015159572157809964,79.71261091957783,83.86397849557679,True
53,SLAM,local,79.71261091957783,82.15852662782316,3777090,9135845.972653182,784,0.0,0.0,1141.9807465816518,0.0,1141.9807465816518,0.0010150939969614647,79.70712392499965,84.44248812098647,True
54,GENERIC,local,79.70712392499965,83.30050737440482,9451436,3554168.4199031494,85,0.0,0.0,444.2710524878919,0.0,444.2710524878919,0.0003949076022114611,79.70498928931202,84.1890494793806,True
55,NAV,local,79.70498928931202,83.74477842689271,6977366,14416680.662667107,204,0.0,0.0,1802.0850828333864,0.0,1802.0850828333864,0.001601853406963012,79.69633062224734,87.34894859255948,True
56,GENERIC,edge,79.69633062224734,85.5468635097261,721819,15450762.711578343,535,464.97013333333337,83.8496,1716.7514123975939,5.329070518200751e-12,2265.5711457309326,0.00011264331851851853,79.69572173944455,90.07800580118796,True
57,GENERIC,local,79.69572173944455,87.81243465545703,273829,17975745.504061695,2635,0.0,0.0,2246.9681880077133,0.0,2246.9681880077133,0.001997305056006855,79.68492549589857,92.30637103147245,False
58,SLAM,local,79.68492549589857,90.05940284346474,4687207,321045.4256132986,117,0.0,0.0,40.13067820166327,0.0,40.13067820166327,3.567171395703318e-05,79.68473267582313,90.13966419986806,False
59,GENERIC,local,79.68473267582313,90.0995335216664,235821,16548407.535456765,1103,0.0,0.0,2068.5509419321024,0.0,2068.5509419321024,0.001838711948384085,79.67479369231835,94.2366354055306,True
60,GENERIC,local,79.67479369231835,92.1680844635985,799780,2608200.8891727654,936,0.0,0.0,326.02511114659194,0.0,326.02511114659194,0.0002898000987969739,79.67322720529782,92.82013468589169,False
61,GENERIC,local,79.67322720529782,92.4941095747451,1218546,12864838.251592677,528,0.0,0.0,1608.1047814490857,0.0,1608.1047814490857,0.0014294264723991863,79.66550057571729,95.71031913764327,True
62,GENERIC,local,79.66550057571729,94.10221435619418,3427690,4922324.148092591,893,0.0,0.0,615.2905185115713,0.0,615.2905185115713,0.0005469249053436213,79.66254422487759,95.33279539321732,False
63,GENERIC,local,79.66254422487759,94.71750487470575,5626460,5307040.092432142,16,0.0,0.0,663.3800115540112,0.0,663.3800115540112,0.0005896711213813493,79.65935681341067,96.04426489781378,True
64,SLAM,local,79.65935681341067,95.38088488625976,104112,6913010.479542971,1461,0.0,0.0,864.1263099428755,0.0,864.1263099428755,0.0007681122755047745,79.65520485516468,97.10913750614552,False
65,NAV,local,79.65520485516468,96.24501119620264,1845113,4951824.348210929,131,0.0,0.0,618.9780435263685,0.0,618.9780435263685,0.0005502027053567699,79.65223078648708,97.48296728325538,True
66,GENERIC,local,79.65223078648708,96.86398923972901,910948,9405478.57887177,698,0.0,0.0,1175.684822358974,0.0,1175.684822358974,0.0010450531754301968,79.64658185040368,99.21535888444696,True
67,SLAM,local,79.64658185040368,98.03967406208798,4532224,88761.03168764226,375,0.0,0.0,11.09512896096021,0.0,11.09512896096021,9.862336854182473e-06,79.64652854047473,98.0618643200099,False
68,NAV,local,79.64652854047473,98.05076919104894,283031,87485.6872930085,740,0.0,0.0,10.935710911624597,0.0,10.935710911624597,9.72063192144539e-06,79.6464759965184,98.07264061287219,False
69,NAV,local,79.6464759965184,98.06170490196057,381110,4531828.95072724,1139,0.0,0.0,566.4786188409039,0.0,566.4786188409039,0.0005035365500808044,79.64375417732879,99.19466213964238,False
70,SLAM,local,79.64375417732879,98.62818352080147,3364998,6532458.957963681,2582,0.0,0.0,816.5573697454533,0.0,816.5573697454533,0.0007258287731070757,79.63983077855524,100.26129826029238,False
71,GENERIC,local,79.63983077855524,99.44474089054692,15001207,3536124.49097422,2165,0.0,0.0,442.01556137177533,0.0,442.01556137177533,0.00039290272121935777,79.63770698006215,100.32877201329048,False
72,GENERIC,edge,79.63770698006215,99.8867564519187,1743752,186282.11704974357,1284,1010.0010666666668,89.29973333333334,20.698013005527063,1.474514954580286e-12,1119.9988130055287,0.00023436687407407415,79.6364401320942,102.12675407792975,False
73,GENERIC,local,79.6364401320942,101.00675526492422,190958,4457897.681723719,291,0.0,0.0,557.2372102154617,0.0,557.2372102154617,0.0004953219646359688,79.63376271606913,102.12122968535515,True
74,GENERIC,local,79.63376271606913,101.56399247513968,1386470,2933604.120834407,133,0.0,0.0,366.7005151042986,0.0,366.7005151042986,0.00032595601342604524,79.63200079167223,102.29739350534828,True
75,GENERIC,local,79.63200079167223,101.93069299024398,994739,2998769.526077295,435,0.0,0.0,374.846190759655,0.0,374.846190759655,0.0003331966140085884,79.6301997288938,102.6803853717633,False
76,SLAM,local,79.6301997288938,102.30553918100364,415977,3211079.322178956,843,0.0,0.0,401.38491527237363,0.0,401.38491527237363,0.00035678659135321737,79.62827115272432,103.10830901154839,False
77,GENERIC,local,79.62827115272432,102.70692409627601,365247,3536743.319192528,3237,0.0,0.0,442.09291489906377,0.0,442.09291489906377,0.00039297147991028094,79.62614698256264,103.59110992607414,False
78,GENERIC,local,79.62614698256264,103.14901701117508,1784577,1524647.3777309798,1112,0.0,0.0,190.5809222163697,0.0,190.5809222163697,0.00016940526419233112,79.62523127843188,103.53017885560782,False
79,GENERIC,local,79.62523127843188,103.33959793339145,3092630,860900.5737582641,378,0.0,0.0,107.612571719784,0.0,107.612571719784,9.56556193064738e-05,79.62471422103023,103.55482307683101,False
80,GENERIC,local,79.62471422103023,103.44721050511123,3029962,5725365.512309528,575,0.0,0.0,715.6706890386886,0.0,715.6706890386886,0.0006361517235899477,79.62127556306487,104.8785518831886,True
