task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,edge,80.0,0.0,2456263,15846135.72671439,194,1390.0069333333333,93.09973333333333,1760.68174741271,0.0,3243.7884140793767,0.00031923484444444444,79.99827440624625,6.487576828158753,True
2,NAV,local,79.99827440624625,3.2437884140793765,390178,70756.99614177343,170,0.0,0.0,8.844624517721833,0.0,8.844624517721833,7.861888460197048e-06,79.99823190955188,3.26147766311482,False
3,GENERIC,edge,79.99823190955188,3.2526330385970983,14331008,9460568.028408865,475,7723.204266666667,156.43200000000002,1051.174225378763,0.0,8930.81049204543,0.0017336489481481483,79.98886083415648,21.11425402268796,True
4,GENERIC,local,79.98886083415648,12.183443530642528,1241628,611191.2335139313,1842,0.0,0.0,76.39890418924189,0.0,76.39890418924189,6.791013705710346e-05,79.98849375233455,12.336241339021011,False
5,NAV,local,79.98849375233455,12.25984243483177,228513,795270.9511316848,3192,0.0,0.0,99.4088688914605,0.0,99.4088688914605,8.836343901463165e-05,79.98801611212367,12.45866017261469,False
6,NAV,local,79.98801611212367,12.35925130372323,3088082,27937948.00752146,35,0.0,0.0,3492.243500940184,0.0,3492.243500940184,0.003104216445280163,79.97123656377082,19.343738305603598,True
7,GENERIC,edge,79.97123656377082,15.851494804663414,2040668,19900670.030490883,208,1168.3562666666667,90.8832,2211.1855589434317,0.0,3470.4250256100986,0.0002697328592592593,79.96977854831535,22.79234485588361,True
8,SLAM,local,79.96977854831535,19.32191983027351,158722,8959917.006771225,1696,0.0,0.0,1119.9896258464044,0.0,1119.9896258464044,0.000995546334085692,79.96439721677976,21.56189908196632,False
9,GENERIC,local,79.96439721677976,20.441909456119916,121323,10002367.559664808,1335,0.0,0.0,1250.2959449581006,0.0,1250.2959449581006,0.00111137417329609,79.95838978881599,22.942501346036117,False
10,GENERIC,local,79.95838978881599,21.692205401078017,5583020,7966096.566286574,891,0.0,0.0,995.7620707858225,0.0,995.7620707858225,0.0008851218406985082,79.95360534643385,23.68372954264966,True
11,SLAM,local,79.95360534643385,22.68796747186384,1912667,12641350.47931931,1151,0.0,0.0,1580.1688099149126,0.0,1580.1688099149126,0.0014045944977021457,79.94601294374355,25.848305091693664,True
12,GENERIC,edge,79.94601294374355,24.26813628177875,5387550,14631514.658823285,44,2953.36,108.73333333333333,1625.7238509803651,0.0,4687.817184313699,0.0006683837037037037,79.94240005885868,33.64377065040615,True
13,SLAM,local,79.94240005885868,28.95595346609245,46229,11201693.551075848,1040,0.0,0.0,1400.2116938844829,0.0,1400.2116938844829,0.0012446326167862055,79.93567231498415,31.756376853861415,True
14,GENERIC,edge,79.93567231498415,30.356165159976932,16463345,3528878.7358740303,221,8860.450666666668,167.80426666666668,392.09763731933674,1.609823385706477e-12,9420.352570652673,0.0019876339555555556,79.92492834765682,49.196870301282274,True
15,GENERIC,edge,79.92492834765682,39.7765177306296,5726822,7466010.356886263,61,3134.305066666667,110.54293333333334,829.5567063206959,0.0,4074.404706320696,0.0007087947851851852,79.92109702449366,47.92532714327099,True
16,NAV,local,79.92109702449366,43.8509224369503,3069422,1045331.5254001406,197,0.0,0.0,130.66644067501443,0.0,130.66644067501443,0.00011614794726668229,79.92046919775167,44.11225531830033,False
17,GENERIC,local,79.92046919775167,43.98158887762531,5678600,7733035.370545945,347,0.0,0.0,966.6294213182454,0.0,966.6294213182454,0.0008592261522828827,79.91582473206367,45.914847720261804,True
