task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,edge,80.0,0.0,1874703,7550026.07468456,1964,634.9049600000001,40.99904,943.7532593355701,0.0,1619.6572593355702,0.00014564544000000002,79.99921272735135,3.23931451867114,False
2,GENERIC,edge,79.99921272735135,1.61965725933557,3216484,25000497.796138838,32,1064.27488,45.292480000000005,3125.062224517355,0.0,4234.629584517355,0.00024153802666666664,79.9979071163964,10.088916428370279,True
3,GENERIC,local,79.9979071163964,5.8542868438529245,6398655,15745933.085920526,145,0.0,0.0,2624.3221809867546,0.0,2624.3221809867546,0.0023327308275437816,79.98529776057185,11.102931205826433,True
4,GENERIC,local,79.98529776057185,8.47860902483968,12620425,23171002.03610847,97,0.0,0.0,3861.833672684744,0.0,3861.833672684744,0.00343274104238644,79.96674240358598,16.20227637020917,True
5,GENERIC,local,79.96674240358598,12.340442697524423,622928,5326325.997943953,77,0.0,0.0,887.7209996573256,0.0,887.7209996573256,0.0007890853330287337,79.96247707746149,14.115884696839075,True
6,GENERIC,local,79.96247707746149,13.22816369718175,425132,2181501.6010376676,706,0.0,0.0,363.58360017294444,0.0,363.58360017294444,0.00032318542237595076,79.96073012923245,13.955330897527638,False
7,SLAM,local,79.96073012923245,13.591747297354694,413970,3723845.906186528,71,0.0,0.0,620.640984364421,0.0,620.640984364421,0.0005516808749905968,79.9577480704487,14.833029266083535,True
8,GENERIC,local,79.9577480704487,14.212388281719115,7540071,1725737.6706074819,359,0.0,0.0,287.62294510124775,0.0,287.62294510124775,0.00025566484008999736,79.95636609834011,14.78763417192161,False
9,SLAM,local,79.95636609834011,14.500011226820362,447718,2424455.637111275,942,0.0,0.0,404.0759395185454,0.0,404.0759395185454,0.00035917861290537406,79.9544245923244,15.308163105857453,False
10,GENERIC,edge,79.9544245923244,14.904087166338908,4144466,567541.8033897973,333,1361.22912,48.262080000000005,70.94272542372467,0.0,1480.4339254237245,0.00030785781333333333,79.95276049603612,17.864955017186357,True
11,GENERIC,local,79.95276049603612,16.384521091762632,1671587,11825213.702010969,840,0.0,0.0,1970.868950335163,0.0,1970.868950335163,0.0017518835114090324,79.94329085543391,20.326258992432958,True
12,NAV,local,79.94329085543391,18.355390042097795,2870748,578713.446662335,106,0.0,0.0,96.45224111038786,0.0,96.45224111038786,8.573532543145704e-05,79.94282742124238,18.54829452431857,False
