task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,NAV,local,80.0,0.0,2046885,15846135.72671439,194,0.0,0.0,2641.022621119065,0.0,2641.022621119065,0.002347575663216947,79.98731040182045,5.28204524223813,True
2,NAV,local,79.98731040182045,2.641022621119065,77408,992275.0784785402,10,0.0,0.0,165.37917974642323,0.0,165.37917974642323,0.0001470037153301541,79.98651578714299,2.9717809806119115,True
3,NAV,local,79.98651578714299,2.8064018008654883,1889944,36445640.380216576,1182,0.0,0.0,6074.2733967027625,0.0,6074.2733967027625,0.0053993541304024565,79.95733008914083,14.954948594271015,True
4,NAV,local,79.95733008914083,8.880675197568252,1361245,9403332.305222403,394,0.0,0.0,1567.2220508704004,0.0,1567.2220508704004,0.001393086267440356,79.9497998931006,12.015119299309053,True
5,NAV,local,79.9497998931006,10.447897248438652,4829072,7682358.017593819,118,0.0,0.0,1280.3930029323035,0.0,1280.3930029323035,0.0011381271137176029,79.94364785464808,13.008683254303259,True
6,NAV,local,79.94364785464808,11.728290251370955,260594,25538503.17951944,113,0.0,0.0,4256.4171965865735,0.0,4256.4171965865735,0.003783481952521399,79.92319660085066,20.2411246445441,True
7,SLAM,local,79.92319660085066,15.984707447957529,9154706,285045.0224392778,487,0.0,0.0,47.50750373987955,0.0,47.50750373987955,4.2228892213226344e-05,79.92296833656843,16.079722455437288,False
8,NAV,local,79.92296833656843,16.03221495169741,6521051,1671885.6368099188,298,0.0,0.0,278.64760613498515,0.0,278.64760613498515,0.00024768676100887685,79.92162948921163,16.58951016396738,False
9,NAV,local,79.92162948921163,16.310862557832394,132268,8959917.006771225,1696,0.0,0.0,1493.3195011285393,0.0,1493.3195011285393,0.0013273951121142557,79.9144543804975,19.297501560089472,False
10,NAV,local,79.9144543804975,17.804182058960933,101103,10002367.559664808,1335,0.0,0.0,1667.0612599441342,0.0,1667.0612599441342,0.0014818322310614532,79.90644447654583,21.1383045788492,True
11,SLAM,local,79.90644447654583,19.471243318905067,1044562,14198354.637721073,995,0.0,0.0,2366.392439620178,0.0,2366.392439620178,0.002103459946329048,79.89507442278187,24.204028198145423,True
12,NAV,local,79.89507442278187,21.837635758525245,2038642,2124875.7120812284,608,0.0,0.0,354.14595201353904,0.0,354.14595201353904,0.0003147964017898116,79.89337282061004,22.545927662552323,False
13,GENERIC,local,79.89337282061004,22.191781710538784,3017904,3396050.3494562344,1712,0.0,0.0,566.0083915760374,0.0,566.0083915760374,0.0005031185702898125,79.89065326077063,23.32379849369086,False
14,NAV,local,79.89065326077063,22.75779010211482,448548,2020027.985897994,14,0.0,0.0,336.67133098299826,0.0,336.67133098299826,0.0002992634053182214,79.8890356207419,23.431132764080818,True
15,GENERIC,edge,79.8890356207419,23.09446143309782,2728115,6268106.51072705,5233,907.9968,43.72992000000001,783.5133138408812,2.220446049250313e-13,1735.2400338408813,0.00020663594666666668,79.88791866967883,26.564941500779582,False
16,NAV,local,79.88791866967883,24.8297014669387,309964,3325705.361778154,1820,0.0,0.0,554.2842269630271,0.0,554.2842269630271,0.0004926970906338007,79.88525544216188,25.938269920864755,False
17,SLAM,local,79.88525544216188,25.383985693901728,160174,4542473.708332625,49,0.0,0.0,757.0789513887703,0.0,757.0789513887703,0.0006729590679011297,79.88161782557863,26.89814359667927,True
18,SLAM,local,79.88161782557863,26.1410646452905,342534,1582148.0533335062,1028,0.0,0.0,263.691342222252,0.0,263.691342222252,0.0002343923041975565,79.88035084015056,26.668447329735002,False
19,GENERIC,edge,79.88035084015056,26.40475598751275,2533961,2781705.1820148975,1036,845.86752,43.10848000000001,347.7131477518622,0.0,1236.6891477518623,0.00019276039111111113,79.87930889209049,28.878134283016472,True
