task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,GENERIC,edge,80.0,0.0,818754,9903834.829196494,194,85.50032,20.65496,1980.7669658392988,0.0,2086.9222458392987,2.129506666666667e-05,79.99997870493333,4.173844491678597,True
2,NAV,local,79.99997870493333,2.0869222458392986,130059,44223.12258860839,170,0.0,0.0,44.22312258860828,0.0,44.22312258860828,3.071050179764472e-05,79.99994799443152,2.175368491016515,False
3,GENERIC,edge,79.99994799443152,2.131145368427907,4777002,5912855.017755541,475,402.16016,23.8216,1182.571003551108,0.0,1608.5527635511082,9.20157688888889e-05,79.99985597866264,5.348250895530124,True
4,GENERIC,local,79.99985597866264,3.7396981319790155,413876,381994.52094620705,1842,0.0,0.0,381.9945209462072,0.0,381.9945209462072,0.0002652739728793105,79.99959070468975,4.50368717387143,False
5,NAV,local,79.99959070468975,4.121692652925223,76171,497044.344457303,3192,0.0,0.0,497.0443444573034,0.0,497.0443444573034,0.00034516968365090486,79.9992455350061,5.1157813418398295,False
6,NAV,local,79.9992455350061,4.618736997382526,1029360,17461217.504700914,35,0.0,0.0,17461.217504700915,0.0,17461.217504700915,0.012125845489375637,79.98711968951672,39.54117200678436,True
7,GENERIC,edge,79.98711968951672,22.079954502083442,680222,12437918.769056803,208,74.41776,20.544159999999998,2487.58375381136,4.440892098500626e-13,2582.5456738113603,1.8819964444444443e-05,79.98710086955228,27.245045849706162,True
8,SLAM,local,79.98710086955228,24.662500175894802,52907,5599948.129232015,1696,0.0,0.0,5599.948129232015,0.0,5599.948129232015,0.0038888528675222332,79.98321201668476,35.86239643435883,True
9,GENERIC,local,79.98321201668476,30.262448305126817,40441,6251479.724790505,1335,0.0,0.0,6251.479724790506,0.0,6251.479724790506,0.00434130536443785,79.97887071132033,42.76540775470783,True
10,GENERIC,local,79.97887071132033,36.513928029917324,1861006,4978810.353929109,891,0.0,0.0,4978.810353929106,0.0,4978.810353929106,0.003457507190228548,79.97541320413009,46.471548737775535,True
